country_code,country_name,year,literacy,primary,secondary,tertiary,years_schooling,education_component,total_weight
TEA,East Asia & Pacific (IDA & IBRD countries),1984,0.71670539855957,0.5275606052899817,0.19527240195533663,0.024045685665500968,,0.41438743773836295,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1985,0.727068862915039,0.5505593183335935,0.20450547677491263,0.02469777113507782,,0.4256261748946891,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1986,0.7363771820068359,0.565489297733843,0.21262589933075332,0.02676232364546913,,0.4346464861425867,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1987,0.748762130737305,0.5730242630480824,0.22843210375392825,0.03278479940673474,,0.4458435974225558,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1988,0.791333389282227,0.5642390643134845,0.23917878367564455,0.028387792283888533,,0.46033410489873267,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1989,0.798226013183594,0.5503402658338882,0.24439086833746615,0.03322094212916347,,0.4617963505839965,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1990,0.804581604003906,0.5262047566157784,0.24570297406291286,0.029214358302968268,,0.45824814420611215,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1991,0.8103086853027339,0.5160652515716052,0.2572290778456701,0.033038121646860714,,0.46174293734843086,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1992,0.815683212280273,0.5073285271537888,0.2708595679306543,0.033253223248127836,,0.46541504953858037,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1993,0.8206301879882809,0.5009966796929167,0.2820682759027945,0.031333030253785844,,0.4684504620542601,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1994,0.826346664428711,0.49727590865015275,0.28698326116058265,0.04001802455459335,,0.4723418889244205,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1995,0.832045593261719,0.49749760520349956,0.2995415987988621,0.042173598204640034,,0.4781384871662524,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1996,0.837103271484375,0.4940752082697197,0.31770255837018707,0.04698262661820458,,0.4849100629828154,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1997,0.893663711547852,0.4926408826144834,0.331906090642403,0.05277506042517366,,0.5083556352351434,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1998,0.8973880004882809,0.49135190646366306,0.3422039944630099,0.05707726983502114,,0.5128881894780251,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),1999,0.900457763671875,0.49849198971096015,0.35050166765320034,0.06209425869298555,,0.5186392030677804,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2000,0.904270477294922,0.5012628110366488,0.3559400584108728,0.06677320990423559,,0.5228163349823999,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2001,0.9077150726318359,0.5050873611848875,0.36826302283008633,0.07376019102594626,,0.529401975986602,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2002,0.91124137878418,0.49747975784140736,0.37413912314873726,0.08454915725193682,,0.5323172439761226,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2003,0.9147035980224609,0.49008893017366684,0.3833202131285435,0.09628528235035659,,0.5363352345290677,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2004,0.917910614013672,0.48343957593786235,0.3993313112873595,0.10679735136322889,,0.5421261443533314,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2005,0.921205902099609,0.47518608904621945,0.4116605529457222,0.11512858660026055,,0.5462037940728847,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2006,0.92479133605957,0.47136341176930574,0.42950413995546366,0.12348933633017839,,0.552899465122361,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2007,0.936999969482422,0.47386740401488486,0.4520513785049661,0.12950730595279564,,0.5647915690742937,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2008,0.940075912475586,0.4753683451327271,0.4685207616197508,0.13414341594492224,,0.5714979395176636,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2009,0.9429283142089839,0.47513195939247876,0.49353137480371984,0.14226291130316984,,0.5806968517084403,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2010,0.94343017578125,0.47283548863488445,0.504389324601616,0.1525389902587299,,0.5850825890561838,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2011,0.945665283203125,0.47354673906477146,0.5130326644276293,0.16171034140223098,,0.5899151667679263,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2012,0.9479434967041019,0.47428608256461513,0.5160690812493284,0.1747580818669552,,0.593856942351699,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2013,0.9486821746826171,0.4715674812983726,0.5221021125467132,0.1896919346126386,,0.5976638522144818,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2014,0.95279426574707,0.4570782876741398,0.518117693119262,0.23391291908520004,,0.6020781093350495,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2015,0.954851303100586,0.45327815829912266,0.5195989355662322,0.2492221403328888,,0.6048823083683241,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2016,0.9568802642822269,0.45245394802194505,0.5158930395647406,0.2599224772490076,,0.6061294448528814,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2017,0.9587976837158201,0.4515225066803651,0.5175743631973373,0.2645578662589502,,0.607801196876662,0.9
TEA,East Asia & Pacific (IDA & IBRD countries),2018,0.959034729003906,0.44913147428208144,0.5224003046553402,0.27039855437350163,,0.6096628587527203,0.9
