country_code,country_name,year,value,indicator
SAS,South Asia,1998,2378.0,"Patent applications, residents"
SAS,South Asia,1997,2080.0,"Patent applications, residents"
SAS,South Asia,1996,1749.0,"Patent applications, residents"
SAS,South Asia,1995,1715.0,"Patent applications, residents"
SAS,South Asia,1994,1698.0,"Patent applications, residents"
SAS,South Asia,1993,1319.0,"Patent applications, residents"
SAS,South Asia,1992,1374.0,"Patent applications, residents"
SAS,South Asia,1991,1358.0,"Patent applications, residents"
SAS,South Asia,1990,1225.0,"Patent applications, residents"
SAS,South Asia,1989,1108.0,"Patent applications, residents"
SAS,South Asia,1988,1083.0,"Patent applications, residents"
SAS,South Asia,1987,1052.0,"Patent applications, residents"
SAS,South Asia,1986,1041.0,"Patent applications, residents"
SAS,South Asia,1985,1050.0,"Patent applications, residents"
SAS,South Asia,1984,1081.0,"Patent applications, residents"
SAS,South Asia,1983,56.0,"Patent applications, residents"
SAS,South Asia,1982,1180.0,"Patent applications, residents"
SAS,South Asia,1981,1112.0,"Patent applications, residents"
SAS,South Asia,1980,1291.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2020,1834.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2019,1745.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2018,1970.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2017,1488.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2016,1485.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2015,1515.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2014,1125.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2013,1229.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2012,979.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2011,1200.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2010,1181.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2009,1219.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2008,1318.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2007,1023.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2006,935.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2005,1124.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2004,1092.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2003,1036.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2002,1060.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2001,996.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,2000,948.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1999,221.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1998,277.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1997,428.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1996,908.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1995,1005.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1994,992.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1993,1032.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1992,966.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1991,1136.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1990,1175.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1989,5178.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1988,4937.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1987,4993.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1986,4782.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1985,4122.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1984,3930.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1983,4307.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1982,3071.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1981,3393.0,"Patent applications, residents"
SSF,Sub-Saharan Africa,1980,3141.0,"Patent applications, residents"
,Upper middle income,2020,1391200.0,"Patent applications, residents"
,Upper middle income,2019,1289800.0,"Patent applications, residents"
,Upper middle income,2018,1441100.0,"Patent applications, residents"
,Upper middle income,2017,1292700.0,"Patent applications, residents"
,Upper middle income,2016,1253900.0,"Patent applications, residents"
,Upper middle income,2015,1018100.0,"Patent applications, residents"
,Upper middle income,2014,845100.0,"Patent applications, residents"
,Upper middle income,2013,754800.0,"Patent applications, residents"
,Upper middle income,2012,584600.0,"Patent applications, residents"
,Upper middle income,2011,462100.0,"Patent applications, residents"
,Upper middle income,2010,340900.0,"Patent applications, residents"
,Upper middle income,2009,284200.0,"Patent applications, residents"
,Upper middle income,2008,253900.0,"Patent applications, residents"
,Upper middle income,2007,207000.0,"Patent applications, residents"
,Upper middle income,2006,170400.0,"Patent applications, residents"
,Upper middle income,2005,135300.0,"Patent applications, residents"
,Upper middle income,2004,104800.0,"Patent applications, residents"
,Upper middle income,2003,95600.0,"Patent applications, residents"
,Upper middle income,2002,76000.0,"Patent applications, residents"
,Upper middle income,2001,66900.0,"Patent applications, residents"
,Upper middle income,2000,60000.0,"Patent applications, residents"
,Upper middle income,1999,45700.0,"Patent applications, residents"
,Upper middle income,1998,39600.0,"Patent applications, residents"
,Upper middle income,1997,37000.0,"Patent applications, residents"
WLD,World,2021,2385200.0,"Patent applications, residents"
WLD,World,2020,2311500.0,"Patent applications, residents"
WLD,World,2019,2239200.0,"Patent applications, residents"
WLD,World,2018,2386300.0,"Patent applications, residents"
WLD,World,2017,2251400.0,"Patent applications, residents"
WLD,World,2016,2215100.0,"Patent applications, residents"
WLD,World,2015,1972500.0,"Patent applications, residents"
WLD,World,2014,1799200.0,"Patent applications, residents"
WLD,World,2013,1708700.0,"Patent applications, residents"
WLD,World,2012,1519700.0,"Patent applications, residents"
WLD,World,2011,1365200.0,"Patent applications, residents"
WLD,World,2010,1236900.0,"Patent applications, residents"
