year,polity2_score,country_count,h7_institutions_component
1924,1.123076923076923,65,0.5561538461538461
1925,0.9104477611940298,67,0.5455223880597015
1926,0.7611940298507462,67,0.5380597014925372
1927,0.6567164179104478,67,0.5328358208955224
1928,0.39705882352941174,68,0.5198529411764705
1929,0.14705882352941177,68,0.5073529411764706
1930,-0.04411764705882353,68,0.4977941176470588
1931,-0.20588235294117646,68,0.4897058823529412
1932,-0.17647058823529413,68,0.4911764705882353
1933,-0.5441176470588235,68,0.4727941176470588
1934,-0.9855072463768116,69,0.4507246376811594
1935,-0.9857142857142858,70,0.45071428571428573
1936,-1.5217391304347827,69,0.42391304347826086
1937,-1.0735294117647058,68,0.4463235294117647
1938,-1.0294117647058822,68,0.4485294117647059
1939,-0.9701492537313433,67,0.45149253731343286
1940,-2.180327868852459,61,0.3909836065573771
1941,-1.7321428571428572,56,0.4133928571428571
1942,-1.8103448275862069,58,0.40948275862068967
1943,-1.6610169491525424,59,0.41694915254237286
1944,-0.8064516129032258,62,0.4596774193548387
1945,-0.04477611940298507,67,0.4977611940298507
1946,0.16176470588235295,68,0.5080882352941176
1947,0.057971014492753624,69,0.5028985507246377
1948,-0.02702702702702703,74,0.49864864864864866
1949,-0.1038961038961039,77,0.49480519480519486
1950,-0.2597402597402597,77,0.487012987012987
1951,-0.3037974683544304,79,0.4848101265822785
1952,-0.037037037037037035,81,0.4981481481481482
1953,-0.12048192771084337,83,0.49397590361445787
1954,-0.39285714285714285,84,0.48035714285714287
1955,-0.36470588235294116,85,0.48176470588235293
1956,0.034482758620689655,87,0.5017241379310345
1957,0.02247191011235955,89,0.501123595505618
1958,-0.449438202247191,89,0.4775280898876405
1959,-0.3,90,0.485
1960,-0.3486238532110092,109,0.4825688073394495
1961,-0.5663716814159292,113,0.4716814159292035
1962,-0.7606837606837606,117,0.46196581196581193
1963,-0.7983193277310925,119,0.46008403361344535
1964,-1.0578512396694215,121,0.4471074380165289
1965,-1.098360655737705,122,0.4450819672131147
1966,-1.376,125,0.4312
1967,-1.6111111111111112,126,0.41944444444444445
1968,-1.5546875,128,0.422265625
1969,-1.8837209302325582,129,0.4058139534883721
1970,-1.8307692307692307,130,0.40846153846153843
1971,-2.218045112781955,133,0.3890977443609023
1972,-2.58955223880597,134,0.3705223880597015
1973,-2.466666666666667,135,0.37666666666666665
1974,-2.411764705882353,136,0.37941176470588234
1975,-2.4225352112676055,142,0.3788732394366197
1976,-2.6267605633802815,142,0.3686619718309859
1977,-2.640845070422535,142,0.36795774647887325
1978,-2.195804195804196,143,0.3902097902097902
1979,-1.75,140,0.4125
1980,-1.9225352112676057,142,0.4038732394366197
1981,-1.8309859154929577,142,0.4084507042253521
1982,-1.8450704225352113,142,0.4077464788732394
1983,-1.647887323943662,142,0.4176056338028169
1984,-1.704225352112676,142,0.4147887323943662
1985,-1.5,142,0.425
