year,h7_energy_component,h7_tech_component,h7_institutions_component,h7_computation_component,h7_composite
1961,0.0,0.1326931070147796,0.4716814159292035,0.3784615384615384,0.17936104543601603
1962,0.0,0.135800798430205,0.4619658119658119,0.3838461538461538,0.17885369139510146
1963,0.0,0.1371540699641383,0.4600840336134453,0.3892307692307692,0.17943002637042468
1964,0.0,0.1399298876462419,0.4471074380165289,0.3946153846153846,0.17813166449180692
1965,0.0,0.151266758818014,0.4450819672131147,0.4,0.18187257593651857
1966,0.0197129164336352,0.1414329856714321,0.4312,0.40461538461538465,0.18356587295684176
1967,0.0336582836315165,0.13687697150719,0.4194444444444444,0.40923076923076923,0.18526060608237216
1968,0.0572275485875598,0.1494011773462345,0.422265625,0.41384615384615386,0.19904296636280752
1969,0.085928060411703,0.157905844521989,0.4058139534883721,0.41846153846153844,0.20939033667807858
1970,0.1148243185858063,0.1650346856382447,0.4084615384615384,0.4230769230769231,0.223380712665602
1971,0.133613217511549,0.1675382379760213,0.3890977443609023,0.42846153846153845,0.22760580679354328
1972,0.1607495369150774,0.1587886930941265,0.3705223880597015,0.4338461538461538,0.2314840273258518
1973,0.190945881598181,0.1664910635747634,0.3766666666666666,0.43923076923076915,0.24695019345832817
1974,0.1939280737079951,0.164008454725012,0.3794117647058823,0.4446153846153845,0.24837410183373576
1975,0.1977573144149258,0.1615532335134473,0.3788732394366197,0.4499999999999999,0.2494306213395158
1976,0.2275698366966027,0.163695913442175,0.3686619718309859,0.4553846153846153,0.25954100750220754
1977,0.2488555881407047,0.1614195173975944,0.3679577464788732,0.4607692307692307,0.26707886301677736
1978,0.2727296373519438,0.1613953518344884,0.3902097902097902,0.4661538461538461,0.2811159189666961
1979,0.2936679899247347,0.160715493992441,0.4125,0.4715384615384615,0.29386496050357913
1980,0.2879499278260646,0.1668938229598626,0.4038732394366197,0.4769230769230769,0.29245318461679776
1981,0.2849933892497817,0.1702512251940494,0.4084507042253521,0.48230769230769227,0.2939333632026082
1982,0.2818588299429173,0.1754258777738039,0.4077464788732394,0.48769230769230765,0.2948200392991077
1983,0.2928409937981108,0.1658853134595742,0.4176056338028169,0.4930769230769231,0.29843934341864864
1984,0.3221788633830919,0.1780985890533221,0.4147887323943662,0.49846153846153846,0.3131495155977778
1985,0.3404895694743727,0.1873169458594724,0.425,0.5038461538461538,0.32555717876516443
1986,0.3560121428387418,0.1960600465912056,0.4330985915492958,0.5261538461538462,0.338029796600257
1987,0.3819453057025303,0.2048949764627415,0.4380281690140845,0.5484615384615384,0.3537182249171251
1988,0.4097439051043634,0.2240792114937862,0.4528169014084507,0.5707692307692308,0.37547906493932376
1989,0.4245981569677142,0.2449018717034144,0.477972027972028,0.5930769230769231,0.39515173520496505
1990,0.4362511769296037,0.2639250029804194,0.529513888888889,0.6153846153846154,0.4186053146228158
1991,0.4417368697038168,0.2635190215202395,0.5675,0.6307692307692307,0.43002065175381193
1992,0.4466272210001638,0.2776462097119787,0.5965625,0.6461538461538462,0.4439923684932784
1993,0.453191675191529,0.2803334203293605,0.6061349693251534,0.6615384615384615,0.45082980403838946
1994,0.4635165617783126,0.3046826417149172,0.6200617283950617,0.676923076923077,0.4669048438620198
1995,0.4816170451816315,0.3409632071246524,0.6183229813664596,0.6923076923076923,0.48638512831481817
1996,0.5059698440095634,0.313269471805232,0.6139751552795032,0.7230769230769231,0.48869754817760064
1997,0.5144747341364848,0.3456029952409951,0.6152173913043478,0.7538461538461538,0.5055288776661462
1998,0.5193206675071032,0.3903978940517272,0.6270186335403727,0.7846153846153846,0.5272114245791976
1999,0.53395976874424,0.4340972873349895,0.6369565217391304,0.8153846153846154,0.5517755774862444
2000,0.5572483406642995,0.4755637825872618,0.6478260869565217,0.8461538461538461,0.5790211593499688
2001,0.5661975014605147,0.5248325326476757,0.6575,0.8615384615384616,0.6016683321414927
2002,0.5861514214982759,0.5376193376058049,0.662111801242236,0.876923076923077,0.6156499999413969
2003,0.6190196228340549,0.5505011937788175,0.6635220125786164,0.8923076923076924,0.6337680343301005
2004,0.668815400097894,0.5738644601896513,0.6703125,0.9076923076923078,0.66263318106614
2005,0.7028454065050448,0.628301418679658,0.6832298136645962,0.9230769230769232,0.6968952075616146
2006,0.7323007155898195,0.6850647153779977,0.6874233128834356,0.9307692307692309,0.7276077924716371
2007,0.7666781208682811,0.7336971056099549,0.6861111111111111,0.9384615384615386,0.7563834656959367
2008,0.7800693318530127,0.7339661488792012,0.6911042944785276,0.9461538461538462,0.7632421068828344
2009,0.7618186169695591,0.7336197758080159,0.6904907975460123,0.9538461538461539,0.7570188994065798
2010,0.8164067767876656,0.7885883766863535,0.6929878048780488,0.9615384615384616,0.7961000731293058
2011,0.8439238687556249,0.8101053940758928,0.7015151515151515,0.9669230769230769,0.8154960470543564
2012,0.8612848788749342,0.8733112298982791,0.7006060606060606,0.9723076923076923,0.842493040709217
2013,0.8828690157336686,0.9197042779490848,0.7087878787878787,0.9776923076923076,0.8675815900798498
2014,0.8964930447927149,0.9312876378645376,0.7054216867469879,0.9830769230769231,0.8761607172145164
2015,0.9057875933960642,0.9483775240930664,0.7102409638554217,0.9884615384615384,0.8866189735221173
2016,0.9212766019331148,0.9744135017834186,0.7078313253012049,0.9907692307692307,0.9004061646761226
2017,0.9495630339811676,0.976644788776868,0.7069277108433735,0.9930769230769231,0.9116271665664306
2018,0.9843063532176612,0.960832455317874,0.7054216867469879,0.9953846153846153,0.9193367521475833
2019,1.0,1.0,0.85,0.9976923076923077,0.9682692307692307
2020,0.9526259927551828,0.9608872305942472,0.75,1.0,0.9174555311095767
